年月,南京,无锡,徐州,常州,苏州,南通,连云港,淮安,盐城,扬州,镇江,泰州,宿迁
2023年1月,4.17,3.99,6.23,4.39,3.93,3.92,4.77,4.94,4.13,4.79,4.56,4.82,5.35
2023年2月,3.55,3.48,4.59,3.93,3.36,3.09,3.79,3.72,3,3.94,3.87,3.55,4.21
2023年3月,4.28,4.34,5.26,4.57,4.25,4.15,4.68,4.93,4.24,4.9,4.81,4.8,5.13
2023年4月,3.55,3.76,3.75,3.97,3.68,3.62,3.51,3.89,3.39,3.92,3.91,3.87,3.63
2023年5月,3.25,3.53,3.61,3.62,3.5,3.32,3.2,3.52,2.96,3.7,3.62,3.44,3.31
2023年6月,3.14,3.33,3.65,3.56,3.45,3.17,3.14,3.31,2.74,3.55,3.41,3.4,3.51
2023年7月,2.22,2.44,2.67,2.41,2.48,2.69,2.34,2.3,2.15,2.76,2.52,2.66,2.5
2023年8月,2.85,3.09,3.25,3.11,3.03,2.39,2.54,2.7,2.22,2.82,3.08,2.66,3
2023年9月,2.76,3.13,3.81,3.27,3.01,2.43,2.85,2.81,2.3,3,3.16,2.79,3.28
2023年10月,3.91,4.11,5.02,4.6,3.87,3.53,3.88,4.21,3.32,4.25,4.23,4.03,4.41
2023年11月,3.85,4.22,4.93,4.74,4.25,3.86,4.1,4.49,3.93,4.42,4.42,4.3,4.68
2023年12月,4.65,5,5.48,5.36,5.12,4.5,4.83,4.76,4.37,5.14,5.03,4.91,4.96
